uid,PublishDate,Type,Title,Platforms,CSA,Objective,SourceCategory,Campaign,Status,Notes
item-0001-6fa13cbd,2026-01-01,Campaign,元旦,,Others,Awareness – Broad Reach,Local Stakeholder,元旦,Planned,Campaign/event imported from FY27 Operation Calendar 2026-01
item-0002-3dd7dedc,2026-01-05,Post,9-5 财务经理,WeChat Video,AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JAN
item-0003-a25718ee,2026-01-06,Post,CES新闻稿,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JAN
item-0004-acf3b03c,2026-01-06,Post,Voice turns Microsoft 365 Copilot into your thought partner,WeChat Video,AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JAN
item-0005-4227eee1,2026-01-06,Post,你更喜欢居家办公还是去办公室？,Douyin,AI Business Solutions,Awareness – Fan Building,Global Content Localization,,Planned,Imported from 2026 JAN
item-0006-c6b2cb5c,2026-01-07,Post,Copilot Skilling Series 06,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Consideration – Product Education,Local Stakeholder,,Planned,Imported from 2026 JAN
item-0007-8a7d3e88,2026-01-07,Post,Copilot 新功能 - Copilot Voice,WeChat,AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JAN
item-0008-2c796733,2026-01-08,Post,Researcher with Computer Use,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JAN
item-0009-9cd04b9f,2026-01-09,Post,微软大咖秀 - 第三期,WeChat Video,AI Business Solutions,Awareness – Advocacy,Local Stakeholder,,Planned,Imported from 2026 JAN
item-0010-8d65feda,2026-01-09,Post,资安讲堂 - MDDR,WeChat,AI Business Solutions,Awareness – Advocacy,Local Creation,,Planned,Imported from 2026 JAN
item-0011-8b9074c7,2026-01-12,Post,Bar-幽灵网,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JAN
item-0012-238fd081,2026-01-12,Post,HY与真格对谈,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JAN
item-0013-34688e16,2026-01-13,Post,AI Hours,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JAN
item-0014-dc9955c0,2026-01-13,Post,How to Write Good Prompts for Useful Results in Word,WeChat Video,AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JAN
item-0015-586e1058,2026-01-13,Post,研究院投稿,Bilibili,AI Business Solutions,Consideration – Product Education,Local Stakeholder,,Planned,Imported from 2026 JAN
item-0016-2ddef581,2026-01-14,Post,It’s About Time: The Copilot Usage Report 2025 | Microsoft AI,"WeChat, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JAN
item-0017-d97c757f,2026-01-15,Post,AI开放麦 - Prompt EQ第二期,WeChat,AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 JAN
item-0018-a9c3cfce,2026-01-15,Post,AI有约-梁岩快问快答,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JAN
item-0019-bb83feb1,2026-01-16,Post,Copilot Skilling Series 07,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Consideration – Product Education,Local Stakeholder,,Planned,Imported from 2026 JAN
